year,month,day,author,title,abstract
2025,2,4,Ivan Olkhov (HSE University),"Gender agreement slots in East Caucasian verbs: An areal-typological study and a case study of Andic","In this talk I will discuss the findings of two studies of gender agreement on verbs in East Caucasian languages. In most languages within this language family, gender agreement on verbs is sporadic, meaning that some verb lexemes have an agreement slot in the root while others do not. The first part of my talk will focus on a typological investigation of sporadic agreement on verbs across the East Caucasian family, which was done for a chapter of the Typological Atlas of the Languages of Daghestan. I will provide information on the number of agreeing lexemes for those languages where such data are available. These numbers vary significantly, with some languages like Rutul and Tsakhur having agreement on all verbs, while others like Agul and Lezgian have none. Additionally, I will explore the possible positions of non-root agreement slots. The second part of my presentation will delve into a case study of the Andic branch. I will examine verbs with the same meanings in languages within the sample; for each meaning I check in how many languages it is expressed by agreeing verbs and in how many languages these verbs are cognate. By analyzing this data, we can draw conclusions about how the verb agreement slots in Andic are preserved."
2025,1,28,Alexander Letuchiy (HSE University),"Abaza masdars: what regulates the choice of marking?","In this talk, I focus on the types and properties of masdars (nominalizations) in Abaza (a language of the West Caucasian family spoken in Russia). A special feature of Abaza is that it has one marker of masdar (the suffix -ra) – however, masdars themselves fall into several types, based on the person marking. Masdars can inherit the argument marking from the verb (the polypersonal agreement with A and DO of transitive verbs, as well as S and IO of intransitive verbs), show possessive agreement with the argument of the masdar, take a definiteness marker a- or remain unmarked in the prefixal part. In this case, the Abaza system of masdars is rich and poor at the same time.

Each type of masdar marking is in a sense a separate complementation strategy. The four strategies are not freely combined with any matrix verb, but chosen according to semantics of the matrix verb (especially reality- and modality-related properties) and syntactic properties of the construction. Although Abaza has no canonical control structures, some features of masdar constructions are reminiscent of control / restructuring phenomena.

The existence of several masdar types are compatible with the fact that nominalizations, including masdars in Caucasian languages, occupy an intermediate place in the system: on the one hand, they denote a situation and inherit many verbal properties; on the other hand, they get some nominal properties. However, very often, as in English or Arabic, it is the syntactic construction with a nominalization that shows similarities with verbal vs. nominal constructions. In Abaza, this intermediate nature of nominalization is manifested in morphology.

The data, considered in the talk, are collected during fieldwork organized by the HSE University in 2024."
2025,1,21,Elena Shvedova (HSE University),Lability drift in Neo-Aramaic languages,"In this talk, I examine labile verbs in Neo-Aramaic languages (< Semitic), focusing on diachrony and semantics. Labile verbs, which can be used both transitively and intransitively without morphological change, are widespread in Modern Aramaic languages, in contrast to earlier Aramaic varieties where anticausative or causative marking was more prevalent. The verbal system of Christian Urmi (< North-Eastern Neo-Aramaic) can illustrate this expansion of lability: I analyzed 1811 verbs from the dictionary (Khan 2016) and at least 172 of them are labile.

Neo-Aramaic languages can be divided into two main genealogical groups: Eastern and Western Aramaic, which separated during the first millennium BC. In my study I use data from both branches. I categorize Neo-Aramaic labile verbs into three groups based on their historical development: (1) verbs such as ‘freeze’, ‘fill’, and ‘begin’, which retain lability from earlier stages of Aramaic; (2) verbs such as ‘open’, ‘break’, and ‘close’, which transitioned from anticausative marking in Middle Aramaic to lability in Modern Aramaic, reflecting parallel development in Eastern and Western varieties; and (3) verbs unique to Modern Western Aramaic (MWA), including ‘boil’, ‘dry’, and ‘wake up’. In other Middle and Modern Aramaic languages the meanings from the third group are expressed by causatively marked pairs, so the lability of these verbs in MWA represents a morphological innovation.

I will also propose some explanations for the lability drift in Neo-Aramaic languages of different branches, such as the phonetic loss of the anticausative marker, the expansion of verbs with four root consonants that cannot be causativized, and possible areal factors. The study is still a work in progress, so I would like to discuss some future plans, including the research of corpus data from historical texts and modern corpora to trace the development of labile verbs in more detail."
2024,12,17,Rita Popova (Saarland University),Where have all the humans gone? Gender assignment of human nouns in Bantu,"The Bantu languages (Atlantic-Congo), a group of 400–500 varieties, are spoken on the southern part of the African continent, from Nigeria and Cameroon in the west, to the Kenyan coast in the east, and South Africa in the south. These languages are known for their grammatical gender (or noun class) systems, where nouns are categorized into as many as 19 classes that govern agreement in verbs, nominal modifiers, and other targets (Maho 1999).
Unlike the gender systems in Indo-European languages, Bantu noun classes are not based on the sex distinction. Instead, the primary semantic contrast in Bantu gender systems lies between humans and non-humans. In a typical Bantu gender system, most nouns referring to humans are assigned to a single 'human' gender value (traditionally labelled as Gender 1/2 in Bantuist notation). In contrast, non-human nouns are distributed across several other gender values, often according to principles that are highly opaque (Corbett 1991, Katamba 2003). Occasionally, nouns denoting humans with unusual characteristics are found in gender values other than 1/2 (Van de Velde 2019). However, the gender assignment of human nouns has not been systematically investigated, and most of the widely accepted generalizations are derived from observations on a few well-studied Bantu languages.
In this talk, I will demonstrate that gender assignment of human nouns is a parameter of intra-Bantu variation. My study is based on the investigation of more than 30 Bantu lexicons available at the RefLex database (Segerer & Flavier, 2011-2023).
I will show that while some Bantu languages assign most human nouns to Gender 1/2, others have a significant number of human nouns in gender values other than 1/2. In fact, some languages seem to assign most human nouns outside 1/2, 'scattering' them across other gender values. Languages of my sample that exhibit this latter pattern come from the North-Western Bantu region, a zone traditionally recognized as the most diverse within the otherwise relatively homogenous Bantu-speaking world (Nurse & Philippson 2003, p. 165).
I will argue that systems where human nouns are dispersed over different gender values challenge the traditional typological account of nominal classification. According to this view, human nouns — being the semantic core of any nominal classification system — are expected to consistently follow transparent semantic rules of gender assignment (Corbett 1991)."
2024,12,10,Martin Haspelmath (Max Planck Institute for Evolutionary Anthropology),Language parameters and construction parameters in the CrossGram database collection,"Replicability of research results minimally relies on data accessibility, but the data should ideally be FAIR: Findable, Accessible, Interoperable, and Reusable. For technical interoperability, the CLDF standard (Forkel et al. 2018) could be used by typologists, though uptake seems to have been slow so far. In this presentation, I discuss the design of the CrossGram database collection, which is specifically designed for typological datasets (it has been public since the summer of 2024: https://crossgram.clld.org/), Here I describe how CrossGram enhances findability and reusability, and I highlight the two different data types that it supports (language parameters and construction parameters).
     CrossGram makes typological data more findable in that it “brings to light” what is often “hidden away” in supplementary spreadsheet files (or even tables in PDF files, though this is becoming rare). Research papers typically limit themselves to summary tables or graphs and a few small maps, but ideally we want to access all typological datasets with the amenities known from CLLD applications such as WALS Online (Dryer & Haspelmath 2013, wals.info) or Grambank (Skirgård et al. 2023, grambank.clld.org). These provide not only easy exporting in CLDF format, but also easy searching and sorting in data tables, as well as map visualization, and links to references and Glottolog language information.
     In addition, CrossGram provides glossed example sentences in tabular form, similar to the thousands of examples in the APiCS database (Michaelis et al. 2013). These are a particularly striking case of increased transparency, because it is not uncommon for example sentences to be hidden in PDF supplements (for example, Bugaeva 2022 has a supplement of 80 pages of annotated examples). Interlinear glossed text has a range of applications even independently of the typological claims that the examples illustrate, so this is another obvious improvement in reusability.
     CrossGram supports two types of typological data: Language parameters that classify entire languages (i.e. parameters of the type known from the maps of WALS and Grambank), and construction parameters that classify constructions. There are many grammatical meanings or functions that can be rendered by multiple constructions in a given language, and if we only consider language parameters, the language must be classified as “mixed” (or a minor construction must be ignored). For example, Kashmiri has both correlative relative clauses and postnominal relative clauses, so both of these strategies could be included in the database and their properties recorded. Stereotypically, typology consists in classifying languages into types, but in reality, languages often have multiple types coexisting with each other, so the addition of constructions and construction types as a data type makes typological databases more fine-grained.
     Finally, CrossGram parameters (both language parameters and construction parameters) are not only explained succinctly and clearly, but there is also a sophisticated keyword annotation that allows users to easily find grammatical information on a wide range of topics, and for the future, integration with the envisaged “Grammaticon” reference catalogue is planned (see Haspelmath 2022). This will enhance findability and accessibility even further, and it will facilitate replication and (more generally) cumulative science."
2024,12,3,"Daria Ryzhova (HSE University), Polina Padalka (HSE University)",YES and NO answers and their synonyms in Shughni,"Shughni response particles ůn 'yes' and nāy 'no' may be used in various contexts, including, besides answers to polarity questions, reactions to requests, suggestions, opinions and other types of speech acts. In addition to their usage in a dialogue setting, these particles can function as discourse markers in narratives. In this talk, we will outline the range of their functions and present their synonyms: other response particles (e.g. en 'yes', an 'yes', nāyo 'no', na-a 'no') and multiword expressions (discourse formulae). We will show that synonymous items tend to distribute across different discourse functions. For some items, we will trace their presumable pragmaticalization paths."
2024,11,26,Leah Finkelberg (HSE University),Reading group: Cormac Anderson et al. (2023) Variation in phoneme inventories: quantifying the problem and improving comparability,"For over a century, the phoneme has played a central role in linguistic research. In recent years, collections of phoneme inventories, originally designed for cross-linguistic purposes, have increasingly been used in comparative studies involving neighbouring disciplines. Despite the extended application of this type of data, there has been no research into its comparability or tests of its reliability. In this study, we carry out a systematic comparison of nine popular phoneme inventory collections. We render them comparable by linking them to standardised formats for the handling of cross-linguistic datasets, develop new measures to test both size and similarity, and release the organised data in supplementary material. We find considerable differences in inventories supposedly representing the same language variety, both in terms of size and transcriptional choices. While some of these differences appear to be predictable, reflecting design decisions in the different collections, much of the observed variation is unsystematic. These results should sound a note of caution for comparative studies based on phoneme inventories, which we suggest need to take the question of comparability more seriously. We make a number of proposals for improving the comparability of phoneme inventories."
2024,11,19,"Nina Dobrushina (Laboratoire Dynamique du Langage, CNRS, Lyon), Chiara Naccarato (HSE University) and Samira Verhees (independent researcher)",Discourse in contact: an areal study of wish formulas in Daghestan,"Research in the domain of language contact and areal studies so far has focussed on the diffusion of lexical, phonological and grammatical elements, and to a smaller extent --- lexical semantics (Koptjevskaja-Tamm et al. 2022). Much less is known about the spread of discourse forms, although the mechanisms through which discourse units spread are presumably different from that characterizing the lexicon, phonology and grammar. In this talk, we will look at the diffusion of three discourse formulas across the East Caucasus (46 languages from four families), using elicitation, grammars and dictionaries as source: commemorative formulas, farewell wishes and morning greetings. We look at instances of pattern and matter copying across the languages of the East Caucasus, and analyze their areal distribution. The case studies show that the formulas are diverse (there is great variation across the area), and that both matter and pattern copying are abundant. Some formulas cover very large areas and cross genetic boundaries. In all cases the same spread zones influenced by large lingua francas --- Avar (in Central Daghestan) and Azerbaijani (in South Daghestan) --- were attested. The distribution of discourse formulas thus shows a very strong areal signal; we cannot come up with any phonological or grammatical phenomena which are spread in the East Caucasus to the same extent. However, there is also evidence of inheritance, especially for those languages that are spoken outside their genealogical area."
2024,11,12,Alina Russkikh (HSE University),Adnominal Possessive Constructions in Christian Urmi (Neo-Aramaic) from a Typological Perspective,"The Northeastern Neo-Aramaic (NENA) varieties are a group of dialects or closely related languages of the Semitic branch of the Afro-Asiatic language family. This study aims to distinguish the inventory of adnominal possessive constructions and to describe the formal and syntactic properties of each construction in a particular variety of NENA, the Christian Urmi, from a typological perspective. Data were collected in the village of Urmiya, Krasnodar Region (Russia) and in Verin Dvin, Ararat Province (Armenia) during field trips in 2021, 2022 and 2024. The presentation will also focus on the locus of marking in adnominal possessive constructions and its evolution. Based on the applied syntactic tests, I will propose the new interpretation of the basic construction with the particle ət attached to the head, analyzing its type of marking as detached rather than head marking."
2024,11,5,Konstantin Filatov (HSE University),Reading group: Alexandre François (2014) Trees waves and linkages: Models of language diversification,"Contrary to widespread belief, there is no reason to think that language diversification typically follows a tree-like pattern, consisting of a nested series of neat splits. Except for the odd case of language isolation or swift migration and dispersal, the normal situation is for language change to involve multiple events of diffusion across mutually intelligible idiolects in a network, typically distributed into conflicting isoglosses. Insofar as these events of language-internal diffusion are later reflected in descendant languages, the sort of language family they define - a ""linkage"" (Ross 1988) - is one in which genealogical relations cannot be represented by a tree, but only by a diagram in which subgroups intersect. Non-cladistic models are needed to represent language genealogy, in ways that take into account the common case of linkages and intersecting subgroups. This paper will focus on an approach that combines the precision of the Comparative Method with the realism of the Wave Model. This method, labeled Historical Glottometry, identifies genealogical subgroups in a linkage situation, and assesses their relative strengths based on the distribution of innovations among modern languages. Provided it is applied with the rigour inherent to the Comparative Method, Historical Glottometry should help unravel the genealogical structures of the world's language families, by acknowledging the role played by linguistic convergence and diffusion in the historical processes of language diversification."
2024,10,29,Polina Nasledskova (HSE University),Typology of ways of expressing ordinal meaning: work in progress,"Languages of the world vary with respect to the way they form ordinal numerals: some languages form them using a specialized ordinal marker, some languages form ordinals with a marker that is not specialized, and some languages lack ordinal numerals altogether. In this talk, I am going to present a classification of ordinal markers and other ways of expressing ordinal meaning based on a sample of 100 languages. As this is a work in progress, I am also going to discuss some challenges I am facing while working on this topic."
2024,10,22,Alexander Rostovtsev-Popiel (Mainz University),Suppletion and Selective Restrictions in the Kartvelian Verb,"This talk is about suppletion and selectional restrictions in the Kartvelian verb. This phenomenon, albeit well-known and widely acknowledged, has never been subject to a dedicated study. Suppletion in Kartvelian has a number of facets that are distributed among a number of diverse domains of linguistic structure, viz. morphology, morphosyntax, semantics, and social deixis, as well as cross-sections thereof. This talk thus aims to provide a concise overview on the patterns found in Kartvelian and categorize them in scalar format."
2024,10,15,"Akhmed Dugrichilov, Taisia Trenikhina, Maksim Melenchenko (HSE University)",The typological database of vigesimal numeral systems,"In our talk, we present the typological database of vigesimal (base-‘20’) numeral systems in languages of the world, which is currently in development. First, we discuss some theoretical problems of numeral systems, the solutions implemented in existing typological databases (WALS and Grambank) and their shortcomings. Then we describe the details of our approach and the preliminary results of the project. We have created a sample of 256 languages which are claimed to have vigesimal systems by Grambank or WALS and annotated 73 so far, focusing on two linguistic areas with high concentration of base ‘20’: Mesoamerica and Papunesia. We show that the distribution of types of numeral systems differs significantly from the one presented by the Grambank data. This is caused not only by annotation mistakes in Grambank but also by the application of a more strict methodology in our study."
2024,10,8,"Igor' Marchenko (University of Groningen) and Roman Ron’ko (HSE University; Vinogradov Russian Language Institute, RAS)",Database of the Dialectological Atlas of the Russian language and the classification of Russian dialects,"In this talk, we will provide an overview of the key functions of the Database of the [Dialectological Atlas of the Russian Language](https://da.ruslang.ru/). Additionally, we will present two case studies that utilize this resource. The first case study assesses the stability of dialects using the database alongside dialect corpora, focusing on the dialect vocabulary spoken in a set of villages in the Zapadnodvinsky district of the Tver region. The second is devoted to the classification of Russian dialects using dialectometric methods, specifically multidimensional scaling (MDS). This study draws on data from the Dialectological Atlas of the Russian Language in its entirety, offering four classifications based on individual linguistic levels—morphology, phonetics, syntax, and lexis—as well as a comprehensive classification that accounts for all linguistic features reflected in the atlas. The primary focus of the study will be on distinguishing the differences between eastern and western Russian dialects based on the database materials, as well as offering a historical interpretation of this dialect division."
2024,10,1,Yury Lander (HSE University),Differential argument (un)marking: A new survey of alignment in West Circassian,"West Circassian, also erroneously known as Adyghe, is usually characterized in literature as showing ergative alignment in morphology and possibly even in syntax (Gishev 1985; Kumakhov et al. 1996; Kumakhov & Vamling 2006; Kumakhov & Vamling 2009; Lander 2010; Letuchiy 2012; Ershova 2019 inter alia). In this talk I will show that if we consider differential argument marking (see, e.g., Arkadiev & Testelets 2019) and certain syntactic properties of nominals (such as those discussed in Arkadiev et al. 2009; Lander et al. 2021), the actual situation turns out to be much more complex. No novel data will be provided for scholars of Circassian languages, but I am going to discuss various kinds of pressure in the West Circassian alignment system and the related issues (including the distinction between the “canonical” differential object marking and incorporating processes and the alignment preferences displayed by different kinds of nominals)."
2024,9,24,Irina Politova (HSE University),Reading group: Peter W. Smith et al. (2019) Case and number suppletion in pronouns,"Suppletion for case and number in pronominal paradigms shows robust patterns across a large, cross-linguistic survey. These patterns are largely, but not entirely, parallel to patterns described in Bobaljik (2012) for suppletion for adjectival degree. Like adjectival degree suppletion along the dimension positive < comparative < superlative, if some element undergoes suppletion for a category X, that element will also undergo suppletion for any category more marked than X on independently established markedness hierarchies for case and number. We argue that the structural account of adjectival suppletive patterns in Bobaljik (2012) extends to pronominal suppletion, on the assumption that case (Caha 2009) and number (Harbour 2011) hierarchies are structurally encoded. In the course of the investigation, we provide evidence against the common view that suppletion obeys a condition of structural (Bobaljik 2012) and/or linear (Embick 2010) adjacency (cf. Merchant 2015; Moskal and Smith 2016), and argue that the full range of facts requires instead a domain-based approach to locality (cf. Moskal 2015b). In the realm of number, suppletion of pronouns behaves as expected, but a handful of examples for suppletion in nouns show a pattern that is initially unexpected, but which is, however, consistent with the overall view if the Number head is also internally structurally complex. Moreover, variation in suppletive patterns for number converges with independent evidence for variation in the internal complexity and markedness of number across languages."
2024,9,17,"George Moroz (HSE), Olga Gich (FEFU), Anna Grishanova (HSE), Natalia Koshelyuk (HSE), Chiara Naccarato (HSE), Anna Panova (HSE), Anastasia Yakovleva (HSE), Svetlana Zemicheva (HSE)","The DiaL2 project: pipeline, results, news and future work","There are 24 dialectal and 8 bilingual corpora of Russian at the Linguistic Convergence Laboratory (see the [resources page](https://lingconlab.ru/)), and more are coming. The DiaL2 project was launched two years ago with an aim to study the linguistic variation found in these corpora. We applied a UDpipe morphological and syntactic parser, manually annotated a set of linguistic features (sometimes relistening the recordings in order to check the transcriptions), and implemented statistical models for each feature that predict the probability of divergence from Standard Russian. During the talk we will discuss our results based on several features:

- non-standard marking in numeral constructions (dva dom [two.M house.SG] ‘two houses’);

- preposition drop (rodilas' [v] tridcat' devjatom godu ‘(she) was born (in) nineteen thirty-nine’);

- non-standard marking in negative existential constructions (ranše sadiki ne byli ‘there were no kindergartens before.’). 

As possible predictors in the models, we used sociolinguistic features (gender, year of birth, years of education), measures of collocationality, and some relevant linguistic features. During the work we discovered multiple typos, inconsistent and wrong transcriptions, and corrected a lot of them. Therefore, we started a parallel project dedicated to automatic correction of the Lab’s corpora, which will also be discussed during the talk."
2024,6,25,Peter Arkadiev (Freiburg Institute for Advanced Studies),Towards a typology of passive lability with special reference to Abaza,"Uncoded passive alternations, also known as passive lability, are only rarely mentioned and discussed in the typological and theoretical literature on passive and voice, despite their being prominent in some language families (e.g. Mande) and linguistic areas (e.g. Western Africa). In this talk I start by discussing the peculiar objective resultative construction in Abaza, a polysynthetic Northwest Caucasian language, and investigate the degree of its similarity to the cross-linguistic prototype of the passive. Given that the Abaza resultative is morphologically unmarked, I argue that it can be considered an instance of passive lability. Further, I propose a preliminary typology of uncoded passives on the basis of a small convenience sample of examples I could gather from the literature. I’ll try to show that this phenomenon is somewhat more widespread than is usually believed and that its cross-linguistic variation largely fits within the typology of “canonical” morphologically marked passives and complements it."
2024,6,18,Ilia Afanasev (HSE University/MTS AI),A new method for genetic language distance measurement between closely related lects,"Measuring distance between different language varieties (lects) generally must rely on an extensive linguistic research that includes collecting wordlists and information on evolution of the phonetic system (Campbell, 2013). However, sometimes gathering this kind of data seems to be impossible, due to the lack of material, as the only one researchers stay with is a small sample of remaining texts. Most often this is the case of historical small territorial varieties. This eliminates any possibility of a reliable automatic classification, yet still preserves the possibility of a preliminary one.
The talk proposes a new method for measuring language distance between small historical closely-related lects, that is based on the combination of frequency-based methods and string similarity measures, and introduces a corpus-based string similarity measure that intends to imitate more advanced phonetic-based scores. The materials for its evaluations are modern and historical Slavic lects, including Slovak, Slovenian and Croatian standards, Belogornoje, Megra and Zialionka dialects, as well as Novgorod, Smolensk and Polack legal texts of XII – XIV centuries.  The key technique used is cross-evaluation with more traditional dialectometry methods, where it is possible. Python implementation of the methods given is available as a Python package."
2024,6,11,Alena Muravyova (HSE University),Syllable structure in Andic languages: data-driven approach,"In this talk I will present results of the data-driven research of syllable structure of Andic languages. Despite the fact that the syllable structure is described in every grammatical description of the Andic languages, in my work I try to get the same result using a database of dictionaries (Moroz et al. 2023). To this data, I applied the LexStat method (List 2012) in order to automatically match cognacy and then used the Levenshtein distance search function for comparing syllabic structures of cognates. As a result of a pairwise comparison of cognates from different languages, the general tendency of the Andic languages to prioritize the CV-syllable. What is more, I came to particular conclusions about the beginning of the word (strict openness of the first syllable in Ahvakh, high tolerance of the closed syllable in Botlikh and Andi) and about the end of the word (mainly open syllable in Ahvakh, closed syllable in Botlikh, Chamalal and Bagvalal). In addition, I have separately examined the processes of reducing consonants r, l, m, n, j, w, b in Andic languages. The results I have obtained are of scientific interest, as they testify to the historical processes in the Andic languages."
